bezirkId,bezirk,a_wahlkreis,b_wahlkreis,ost_west,wahlberechtigte,waehler,gueltig,ungueltig,CDU,DIE LINKE,SPD,GRUNE,FDP,PIRATEN,NPD,BuSo,MLPD,AfD,BIG,pro Deutschland,FREIE WAHLER,Die PARTEI,Boes,B,Bundnis 21_RRP,DKP,Die Violetten,Ditsche,Di Leo,Sylla,Fricke,Otto,Beckmann,Snelinski
1,Mitte,6,75,W,1287,610,598,12,123,92,188,105,3,30,11,0,0,22,5,0,2,9,3,0,0,0,0,0,0,5,0,0,0,0
1,Mitte,6,75,W,1575,679,663,16,111,119,193,110,6,43,19,1,2,24,10,0,0,18,5,0,0,0,0,0,0,2,0,0,0,0
1,Mitte,6,75,W,1099,608,600,8,113,108,152,130,2,34,13,1,0,23,0,0,2,15,2,0,0,2,0,0,0,3,0,0,0,0
1,Mitte,6,75,W,1105,445,439,6,108,69,136,63,5,19,9,1,0,9,1,0,5,4,6,0,0,3,0,0,0,1,0,0,0,0
1,Mitte,6,75,W,900,431,419,12,90,90,111,72,4,21,6,0,1,10,1,0,0,9,1,0,0,1,0,0,0,2,0,0,0,0
1,Mitte,6,75,W,1124,510,504,6,82,96,144,100,6,24,7,0,0,18,6,0,0,4,7,0,0,0,0,0,0,10,0,0,0,0
1,Mitte,6,75,W,1072,501,492,9,74,95,147,102,4,21,8,0,1,13,4,0,1,12,8,0,0,2,0,0,0,0,0,0,0,0
1,Mitte,6,75,W,970,460,452,8,55,80,136,104,4,32,4,1,0,10,6,0,2,8,9,0,0,1,0,0,0,0,0,0,0,0
1,Mitte,6,75,W,895,438,427,11,122,58,149,38,7,17,10,1,1,13,1,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,6,75,W,770,315,300,15,58,60,108,33,1,14,3,0,2,9,5,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0
1,Mitte,6,75,W,945,448,430,18,54,88,126,69,6,35,9,2,0,15,2,0,0,16,5,0,0,1,0,0,0,2,0,0,0,0
1,Mitte,6,75,W,833,306,303,3,37,70,77,57,4,20,5,0,1,11,3,0,0,12,4,0,0,0,0,0,0,2,0,0,0,0
1,Mitte,6,75,W,967,422,415,7,48,70,145,80,7,30,9,0,2,8,2,0,0,5,7,0,0,0,0,0,0,2,0,0,0,0
1,Mitte,6,75,W,1067,501,492,9,82,74,161,90,3,32,14,0,1,14,2,0,1,7,7,0,0,1,0,0,0,3,0,0,0,0
1,Mitte,6,75,W,1256,519,512,7,104,93,168,85,6,25,2,0,1,8,8,0,0,6,4,0,0,2,0,0,0,0,0,0,0,0
1,Mitte,6,75,W,1115,493,485,8,63,88,140,96,5,38,4,0,1,13,2,0,1,24,9,0,0,1,0,0,0,0,0,0,0,0
